titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0000657	1	Cursa de cavalls a l'Hipodrom	ES	ca	alternative	\N	0
tt0000657	2	Carreras de caballos en el Hipodromo	ES	\N	alternative	\N	0
tt0000657	4	Carreras de caballos de 1908	ES	\N	imdbDisplay	\N	0
tt0000664	1	Los competidores	ES	\N	imdbDisplay	\N	0
tt0000666	3	Corrida de toros con Antonio Fuentes	ES	\N	imdbDisplay	\N	0
tt0000667	2	Corrida de toros con Ricardo Torres 'Bombita'	ES	\N	imdbDisplay	\N	0
tt0000670	1	El curioso impertinente	ES	\N	imdbDisplay	\N	0
tt0000673	1	La Dolores	ES	\N	imdbDisplay	\N	0
tt0000674	2	Don Juan Tenorio	ES	\N	imdbDisplay	\N	0
tt0000675	2	Don Quijote	ES	\N	imdbDisplay	\N	0
tt0000676	1	Don Álvaro o la fuerza del sino	ES	\N	imdbDisplay	\N	0
tt0000678	2	Excursión a Montserrat	ES	\N	imdbDisplay	\N	0
tt0000678	3	Montserrat pintoresco	ES	\N	alternative	\N	0
tt0000686	2	Fiestas del carnaval de 1908 en Barcelona	ES	\N	imdbDisplay	\N	0
tt0000693	2	Gerona monumental	ES	\N	imdbDisplay	\N	0
tt0000696	1	El guardia burlado	ES	\N	imdbDisplay	\N	0
tt0000705	1	Inauguración de la exposición hispano-francesa	ES	\N	imdbDisplay	\N	0
tt0000705	3	Inauguración de la exposición hispano-francesa de 1908 por su alteza real el infante Don Carlos	ES	\N	alternative	\N	0
tt0000719	1	Mallorca, illa daurada	ES	ca	imdbDisplay	\N	0
tt0000723	1	María Rosa	ES	\N	imdbDisplay	\N	0
tt0000726	1	Monasterio de Poblet	ES	\N	imdbDisplay	\N	0
tt0000739	2	El pastorcito de Torrente	ES	\N	imdbDisplay	\N	0
tt0000741	3	Malasia	ES	\N	\N	\N	0
tt0000761	1	Simulacro de bomberos en la Plaza de Cataluña, de Barcelona	ES	\N	imdbDisplay	\N	0
tt0000776	2	La destruccion de Pompeya	ES	\N	\N	\N	0
tt0000791	1	Amor heroico	ES	\N	imdbDisplay	\N	0
